id,section_number,section_name_en,section_name_fr,subsection_number,subsection_name_en,subsection_name_fr,title_en,title_fr
Inst,,General Information,Informations générales,,Identification,Identification,Name of institution,Nom de l’institution
Report,,General Information,Informations générales,,Reporting period,Période d'établissement de rapport,Reporting period,Période d'établissement de rapport
Q1R1C1,1,Section 1: Requests Under the Access to Information Act,Section 1 – Demandes en vertu de la Loi sur l’accès à l’information (LAI),1.1,1.1 Number of requests,1.1 Nombre de demandes,Number of Requests - Received during reporting period,Nombre de demandes - Reçues pendant la période d'établissement de rapport
Q1R2C1,1,Section 1: Requests Under the Access to Information Act,Section 1 – Demandes en vertu de la Loi sur l’accès à l’information (LAI),1.1,1.1 Number of requests,1.1 Nombre de demandes,Number of Requests - Outstanding from previous reporting periods,Nombre de demandes - En suspens à la fin de la période d'établissement de rapport précédente
Q1R3C1,1,Section 1: Requests Under the Access to Information Act,Section 1 – Demandes en vertu de la Loi sur l’accès à l’information (LAI),1.1,1.1 Number of requests,1.1 Nombre de demandes,Number of Requests - Outstanding from previous reporting period,Nombre de demandes - En suspens à la fin de la période d'établissement de rapport précédente
Q1R4C1,1,Section 1: Requests Under the Access to Information Act,Section 1 – Demandes en vertu de la Loi sur l’accès à l’information (LAI),1.1,1.1 Number of requests,1.1 Nombre de demandes,Number of Requests - Outstanding from more than one reporting period,Nombre de demandes - En suspens pour plus d'une période d'établissement de rapport
Q1R5C1,1,Section 1: Requests Under the Access to Information Act,Section 1 – Demandes en vertu de la Loi sur l’accès à l’information (LAI),1.1,1.1 Number of requests,1.1 Nombre de demandes,Number of Requests - Total,Nombre de demandes - Total
Q1R6C1,1,Section 1: Requests Under the Access to Information Act,Section 1 – Demandes en vertu de la Loi sur l’accès à l’information (LAI),1.1,1.1 Number of requests,1.1 Nombre de demandes,Number of Requests - Closed during reporting period,Nombre de demandes - Fermées pendant la période d'établissement de rapport
Q1R7C1,1,Section 1: Requests Under the Access to Information Act,Section 1 – Demandes en vertu de la Loi sur l’accès à l’information (LAI),1.1,1.1 Number of requests,1.1 Nombre de demandes,Number of Requests - Carried over to next reporting period,Nombre de demandes - Reportées à la prochaine période d'établissement de rapport
Q1R8C1,1,Section 1: Requests Under the Access to Information Act,Section 1 – Demandes en vertu de la Loi sur l’accès à l’information (LAI),1.1,1.1 Number of requests,1.1 Nombre de demandes,Number of Requests - Carried over within legislated timeline,Nombre de demandes - Reportées à la prochaine période d'établissement de rapport dans les délais prévus par la LAI
Q1R9C1,1,Section 1: Requests Under the Access to Information Act,Section 1 – Demandes en vertu de la Loi sur l’accès à l’information (LAI),1.1,1.1 Number of requests,1.1 Nombre de demandes,Number of Requests - Carried over beyond legislated timeline,Nombre de demandes - Reportées à la prochaine période d'établissement de rapport au-delà des délais prévus par la LAI
Q2R1C1,1,Section 1: Requests Under the Access to Information Act,Section 1 – Demandes en vertu de la Loi sur l’accès à l’information (LAI),1.2,1.2 Sources of requests,1.2 Source des demandes,Number of Requests - Media,Nombre de demandes - Médias
