id,section_number,section_name_en,section_name_fr,subsection_number,subsection_name_en,subsection_name_fr,title_en,title_fr,id_2025_26
NameOfInstitution,,General Information,Informations générales,,Identification,Identification,N/A,N/A,NameOfInstitution
ReportingPeriodStart,,Reporting period:,Période d’établissement de rapport :,,Start Date,Date de début,N/A,N/A,ReportingPeriodStart
ReportingPeriodEnd,,Reporting period:,Période d’établissement de rapport :,,End Date,Date de fin,N/A,N/A,ReportingPeriodEnd
Q1_1Row1Cell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.1,1.1 Number of requests,1.1 Nombre de demandes,Requests under the Access to Information Act: Number of Requests - Received during reporting period,Demandes en vertu de la Loi sur l’accès à l’information : Nombre de demandes - Reçues pendant la période d’établissement de rapport,Q1R1C1
Q1_1Row2Cell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.1,1.1 Number of requests,1.1 Nombre de demandes,Requests under the Access to Information Act: Number of Requests - Outstanding from previous reporting periods,Demandes en vertu de la Loi sur l’accès à l’information : Nombre de demandes - En suspens à la fin de la période d’établissement de rapport précédentes,Q1R2C1
Q1_1Row2aCell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.1,1.1 Number of requests,1.1 Nombre de demandes,"Requests under the Access to Information Act: Number of Requests - Outstanding from previous reporting periods, Outstanding from previous reporting period","Demandes en vertu de la Loi sur l’accès à l’information : Nombre de demandes - En suspens à la fin de la période d’établissement de rapport précédentes, En suspens à la fin de la période d’établissement de rapport précédente",Q1R3C1
Q1_1Row2bCell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.1,1.1 Number of requests,1.1 Nombre de demandes,"Requests under the Access to Information Act: Number of Requests - Outstanding from previous reporting periods, Outstanding from more than one reporting period","Demandes en vertu de la Loi sur l’accès à l’information : Nombre de demandes - En suspens à la fin de la période d’établissement de rapport précédentes, En suspens pour plus d’une période d’établissement de rapport",Q1R4C1
Q1_1Row3Cell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.1,1.1 Number of requests,1.1 Nombre de demandes,Requests under the Access to Information Act: Number of Requests - Total,Demandes en vertu de la Loi sur l’accès à l’information : Nombre de demandes - Total,Q1R5C1
Q1_1Row4Cell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.1,1.1 Number of requests,1.1 Nombre de demandes,Requests under the Access to Information Act: Number of Requests - Closed during reporting period,Demandes en vertu de la Loi sur l’accès à l’information : Nombre de demandes - Fermées pendant la période d’établissement de rapport,Q1R6C1
Q1_1Row5Cell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.1,1.1 Number of requests,1.1 Nombre de demandes,Requests under the Access to Information Act: Number of Requests - Carried over to next reporting period,Demandes en vertu de la Loi sur l’accès à l’information : Nombre de demandes - Reportées à la prochaine période d’établissement de rapport,Q1R7C1
Q1_1Row5aCell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.1,1.1 Number of requests,1.1 Nombre de demandes,"Requests under the Access to Information Act: Number of Requests - Carried over to next reporting period, Carried over within legislated timeline","Demandes en vertu de la Loi sur l’accès à l’information : Nombre de demandes - Reportées à la prochaine période d’établissement de rapport, Reportées à la prochaine période d’établissement de rapport dans les délais prévus par la Loi",Q1R8C1
Q1_1Row5bCell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.1,1.1 Number of requests,1.1 Nombre de demandes,"Requests under the Access to Information Act: Number of Requests - Carried over to next reporting period, Carried over beyond legislated timeline","Demandes en vertu de la Loi sur l’accès à l’information : Nombre de demandes - Reportées à la prochaine période d’établissement de rapport, Reportées à la prochaine période d’établissement de rapport au-delà des délais prévus par la Loi",Q1R9C1
Q1_2Row1Cell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.2,1.2 Sources of requests,1.2 Source des demandes,Number of Requests - Source: Media,Nombre de demandes - Source: Médias,Q2R1C1
Q1_2Row2Cell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.2,1.2 Sources of requests,1.2 Source des demandes,Number of Requests - Source: Academia,Nombre de demandes - Source: Secteur universitaire ,Q2R2C1
Q1_2Row3Cell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.2,1.2 Sources of requests,1.2 Source des demandes,Number of Requests - Source: Business (private sector),Nombre de demandes - Source: Secteur commercial (secteur privé,Q2R3C1
Q1_2Row4Cell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.2,1.2 Sources of requests,1.2 Source des demandes,Number of Requests - Source: Organization,Nombre de demandes - Source: Organisation,Q2R4C1
Q1_2Row5Cell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.2,1.2 Sources of requests,1.2 Source des demandes,Number of Requests - Source: Public,Nombre de demandes - Source: Public,Q2R5C1
Q1_2Row6Cell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.2,1.2 Sources of requests,1.2 Source des demandes,Number of Requests - Source: Decline to identify,Nombre de demandes - Source: Refus de s’identifier,Q2R6C1
Q1_2Row7Cell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.2,1.2 Sources of requests,1.2 Source des demandes,Number of Requests - Source: Total,Nombre de demandes - Source: Total,Q2R7C1
Q1_3Row1Cell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.3,1.3 Channels of requests,1.3 Mode des demandes,Number of Requests - Source: Online,Nombre de demandes - Mode: En ligne,Q3R1C1
Q1_3Row2Cell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.3,1.3 Channels of requests,1.3 Mode des demandes,Number of Requests - Source: E-mail,Nombre de demandes - Mode: Courriel,Q3R2C1
Q1_3Row3Cell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.3,1.3 Channels of requests,1.3 Mode des demandes,Number of Requests - Source: Mail,Nombre de demandes - Mode: Poste,Q3R3C1
Q1_3Row4Cell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.3,1.3 Channels of requests,1.3 Mode des demandes,Number of Requests - Source: In person,Nombre de demandes - Mode: En personne,Q3R4C1
Q1_3Row5Cell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.3,1.3 Channels of requests,1.3 Mode des demandes,Number of Requests - Source: Phone,Nombre de demandes - Mode: Téléphone,Q3R5C1
Q1_3Row6Cell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.3,1.3 Channels of requests,1.3 Mode des demandes,Number of Requests - Source: Fax,Nombre de demandes - Mode: Télécopieur,Q3R6C1
Q1_3Row7Cell1,1,Section 1: Requests under theAccess to Information Act,Section 1 : Demandes en vertu de laLoi sur l’accès à l’information,1.3,1.3 Channels of requests,1.3 Mode des demandes,Number of Requests - Source: Total,Nombre de demandes - Mode: Total,Q3R7C1
Q2_1Row1Cell1,2,Section 2 : Informal requests,Section 2 : Demandes informelles,2.1,2.1 Number of informal requests,2.1 Nombre de demandes informelles,Requests under the Access to Information Act: Number of informal requests - Received during reporting period,Demandes en vertu de la Loi sur l’accès à l’information : Nombre de demandes informelles - Reçues pendant la période d’établissement de rapport,Q4R1C1
Q2_1Row2Cell1,2,Section 2 : Informal requests,Section 2 : Demandes informelles,2.1,2.1 Number of informal requests,2.1 Nombre de demandes informelles,Requests under the Access to Information Act: Number of informal requests - Outstanding from previous reporting periods,Demandes en vertu de la Loi sur l’accès à l’information : Nombre de demandes informelles - En suspens à la fin de la période d’établissement de rapport précédentes,Q4R2C1
Q2_1Row2aCell1,2,Section 2 : Informal requests,Section 2 : Demandes informelles,2.1,2.1 Number of informal requests,2.1 Nombre de demandes informelles,"Requests under the Access to Information Act: Number of informal requests - Outstanding from previous reporting periods, Outstanding from previous reporting period","Demandes en vertu de la Loi sur l’accès à l’information : Nombre de demandes informelles - En suspens à la fin de la période d’établissement de rapport précédentes, En suspens à la fin de la période d’établissement de rapport précédente",Q4R3C1
Q2_1Row2bCell1,2,Section 2 : Informal requests,Section 2 : Demandes informelles,2.1,2.1 Number of informal requests,2.1 Nombre de demandes informelles,"Requests under the Access to Information Act: Number of informal requests - Outstanding from previous reporting periods, Outstanding from more than one reporting period","Demandes en vertu de la Loi sur l’accès à l’information : Nombre de demandes informelles - En suspens à la fin de la période d’établissement de rapport précédentes, En suspens pour plus d’une période d’établissement de rapport",Q4R4C1
Q2_1Row3Cell1,2,Section 2 : Informal requests,Section 2 : Demandes informelles,2.1,2.1 Number of informal requests,2.1 Nombre de demandes informelles,Requests under the Access to Information Act: Number of informal requests - Total,Demandes en vertu de la Loi sur l’accès à l’information : Nombre de demandes informelles - Total,Q4R5C1
Q2_1Row4Cell1,2,Section 2 : Informal requests,Section 2 : Demandes informelles,2.1,2.1 Number of informal requests,2.1 Nombre de demandes informelles,Requests under the Access to Information Act: Number of informal requests - Closed during reporting period,Demandes en vertu de la Loi sur l’accès à l’information : Nombre de demandes informelles - Fermées pendant la période d’établissement de rapport,Q4R6C1
