id,section_number,section_name_en,section_name_fr,subsection_number,subsection_name_en,subsection_name_fr,title_en,title_fr,id_2025_26
NameOfInstitution,,General Information,Informations générales,,Identification,Identification,,,NameOfInstitution
ReportingPeriodStart,,Reporting period,Période d'établissement de rapport,,Start Date,Date de début,,,ReportingPeriodStart
ReportingPeriodEnd,,Reporting period,Période d'établissement de rapport,,End Date,Date de fin,,,ReportingPeriodEnd
Q1R1C1,1,Section 1,Section 1,1.1,"Requests carried over to next reporting period, broken down by reporting period received","Demandes reportées à la prochaine période d'établissement de rapports, ventilées par période d'établissement de rapports reçue",,,Q1R1C1
Q1R2C1,1,Section 1,Section 1,1.1,"Requests carried over to next reporting period, broken down by reporting period received","Demandes reportées à la prochaine période d'établissement de rapports, ventilées par période d'établissement de rapports reçue",,,Q1R2C1
Q1R3C1,1,Section 1,Section 1,1.1,"Requests carried over to next reporting period, broken down by reporting period received","Demandes reportées à la prochaine période d'établissement de rapports, ventilées par période d'établissement de rapports reçue",,,Q1R3C1
Q1R4C1,1,Section 1,Section 1,1.1,"Requests carried over to next reporting period, broken down by reporting period received","Demandes reportées à la prochaine période d'établissement de rapports, ventilées par période d'établissement de rapports reçue",,,Q1R4C1
Q1R5C1,1,Section 1,Section 1,1.1,"Requests carried over to next reporting period, broken down by reporting period received","Demandes reportées à la prochaine période d'établissement de rapports, ventilées par période d'établissement de rapports reçue",,,Q1R5C1
Q1R6C1,1,Section 1,Section 1,1.1,"Requests carried over to next reporting period, broken down by reporting period received","Demandes reportées à la prochaine période d'établissement de rapports, ventilées par période d'établissement de rapports reçue",,,Q1R6C1
Q1R7C1,1,Section 1,Section 1,1.1,"Requests carried over to next reporting period, broken down by reporting period received","Demandes reportées à la prochaine période d'établissement de rapports, ventilées par période d'établissement de rapports reçue",,,Q1R7C1
Q1R8C1,1,Section 1,Section 1,1.1,"Requests carried over to next reporting period, broken down by reporting period received","Demandes reportées à la prochaine période d'établissement de rapports, ventilées par période d'établissement de rapports reçue",,,Q1R8C1
Q1R9C1,1,Section 1,Section 1,1.1,"Requests carried over to next reporting period, broken down by reporting period received","Demandes reportées à la prochaine période d'établissement de rapports, ventilées par période d'établissement de rapports reçue",,,Q1R9C1
Q1R10C1,1,Section 1,Section 1,1.1,"Requests carried over to next reporting period, broken down by reporting period received","Demandes reportées à la prochaine période d'établissement de rapports, ventilées par période d'établissement de rapports reçue",,,Q1R10C1
Q1R11C1,1,Section 1,Section 1,1.1,"Requests carried over to next reporting period, broken down by reporting period received","Demandes reportées à la prochaine période d'établissement de rapports, ventilées par période d'établissement de rapports reçue",,,Q1R11C1
